,animal,session,cluster ID,Choice modulation,depth
322,BS_41,BS_41_8_AC.pickle,77,0.6266666666666674,0.445
323,BS_41,BS_41_8_AC.pickle,79,2.2055137844611523,0.07
324,BS_41,BS_41_8_AC.pickle,82,4.003152088258471,0.395
325,BS_41,BS_41_8_AC.pickle,89,0.23980815347721818,0.345
326,BS_41,BS_41_9_AC.pickle,3,2.0508054522924413,0.9875
327,BS_41,BS_41_9_AC.pickle,23,0.9552845528455286,0.9625
328,BS_41,BS_41_9_AC.pickle,24,0.9496124031007754,0.9625
329,BS_41,BS_41_9_AC.pickle,37,7.298435619735258,0.475
330,BS_41,BS_41_9_AC.pickle,70,0.23333333333333342,0.7
331,BS_41,BS_41_9_AC.pickle,75,0.03333333333333338,0.675
332,BS_41,BS_41_9_AC.pickle,78,0.2833333333333334,0.6625
333,BS_41,BS_41_9_AC.pickle,80,3.0333333333333323,0.6375
334,BS_41,BS_41_9_AC.pickle,101,1.172222222222222,0.9625
335,BS_41,BS_41_9_AC.pickle,102,0.6393544382371199,0.9875
336,BS_41,BS_41_9_AC.pickle,103,0.09425878320479862,0.55
337,BS_41,BS_41_9_AC.pickle,109,0.22222222222222232,0.875
338,BS_41,BS_41_9_AC.pickle,125,0.05952380952380958,0.9375
339,BS_42,BS_42_10_AC.pickle,3,1.9758672699849167,1.0575
340,BS_42,BS_42_10_AC.pickle,8,2.8959276018099547,0.67
341,BS_42,BS_42_10_AC.pickle,10,4.283559577677225,0.47
342,BS_42,BS_42_10_AC.pickle,11,0.39215686274509776,0.8075
343,BS_42,BS_42_10_AC.pickle,17,0.10558069381598778,0.945
344,BS_42,BS_42_10_AC.pickle,18,2.914171656686626,0.97
345,BS_42,BS_42_10_AC.pickle,20,0.5893186003683242,0.995
346,BS_42,BS_42_10_AC.pickle,26,8.371040723981901,0.7575
347,BS_42,BS_42_11_AC.pickle,1,0.04866180048661781,0.8325
348,BS_42,BS_42_11_AC.pickle,44,4.330900243309002,0.5825
349,BS_42,BS_42_11_AC.pickle,48,2.6520681265206814,0.47
350,BS_42,BS_42_2_AC.pickle,3,3.0533333333333337,1.07
351,BS_42,BS_42_2_AC.pickle,5,4.473429951690821,1.17
352,BS_42,BS_42_2_AC.pickle,7,2.049180327868852,1.0825
353,BS_42,BS_42_2_AC.pickle,8,3.24,1.0575
354,BS_42,BS_42_2_AC.pickle,9,3.6288998357963878,1.195
355,BS_42,BS_42_2_AC.pickle,12,5.313333333333332,1.045
356,BS_42,BS_42_2_AC.pickle,14,5.326666666666666,1.02
357,BS_42,BS_42_2_AC.pickle,15,1.8800000000000006,1.22
358,BS_42,BS_42_2_AC.pickle,16,12.146666666666667,1.145
359,BS_42,BS_42_2_AC.pickle,17,0.2733333333333332,1.145
360,BS_42,BS_42_2_AC.pickle,18,0.2133333333333331,1.12
361,BS_42,BS_42_2_AC.pickle,27,0.5066666666666663,0.695
362,BS_42,BS_42_2_AC.pickle,41,0.3666666666666669,0.72
363,BS_42,BS_42_2_AC.pickle,48,0.016142050040354947,0.745
364,BS_42,BS_42_2_AC.pickle,54,1.5799999999999998,1.12
365,BS_42,BS_42_2_AC.pickle,57,1.6866666666666665,0.92
366,BS_42,BS_42_2_AC.pickle,61,6.633333333333333,0.945
