,animal,session,cluster,p value
360,BS_49,BS_49_5_AC.pickle,18,0.8145137840803511
361,BS_49,BS_49_9_AC.pickle,11,0.29143782313569894
362,BS_49,BS_49_9_AC.pickle,15,0.7705935135547481
363,BS_49,BS_49_9_AC.pickle,18,0.0008820261667726726
364,BS_49,BS_49_9_AC.pickle,27,0.6159957757877336
365,BS_49,BS_49_9_AC.pickle,32,0.64580745828007
366,BS_49,BS_49_9_AC.pickle,45,0.06088500704903838
367,BS_49,BS_49_9_AC.pickle,49,0.00023308062023796023
368,BS_49,BS_49_9_AC.pickle,61,0.08479431827904595
369,BS_50,BS_50_2_AC.pickle,2,0.7671627382345665
370,BS_50,BS_50_2_AC.pickle,6,0.942588797170816
371,BS_50,BS_50_2_AC.pickle,10,0.04461156066262559
372,BS_50,BS_50_2_AC.pickle,35,0.04930604747159943
373,BS_50,BS_50_2_AC.pickle,43,0.8684821290064457
374,BS_50,BS_50_2_AC.pickle,47,0.2563520960130693
375,BS_50,BS_50_2_AC.pickle,74,0.5691592807145874
376,BS_50,BS_50_2_AC.pickle,79,0.6449348850694698
377,BS_50,BS_50_2_AC.pickle,91,0.07287466101717595
378,BS_50,BS_50_2_AC.pickle,95,0.12365798347752732
379,BS_50,BS_50_3_AC.pickle,0,0.28165244630642294
380,BS_50,BS_50_3_AC.pickle,3,0.9327363879094049
381,BS_50,BS_50_3_AC.pickle,6,0.9281285027243162
382,BS_50,BS_50_3_AC.pickle,11,0.11256407965172105
383,BS_50,BS_50_3_AC.pickle,16,0.01878206202609699
384,BS_50,BS_50_3_AC.pickle,28,0.8432689801404933
385,BS_50,BS_50_3_AC.pickle,34,0.11274930606720579
386,BS_50,BS_50_3_AC.pickle,41,0.13800804679788267
387,BS_50,BS_50_7_AC.pickle,3,0.8317304896049683
388,BS_50,BS_50_7_AC.pickle,5,0.9848433175827627
389,BS_50,BS_50_7_AC.pickle,10,0.7434696951098477
390,BS_50,BS_50_7_AC.pickle,12,0.8696825180575665
391,BS_50,BS_50_7_AC.pickle,20,0.16299122146894804
392,BS_50,BS_50_7_AC.pickle,23,0.8115537552463838
393,BS_51,BS_51_2_AC.pickle,0,0.2006025761901034
394,BS_51,BS_51_2_AC.pickle,3,0.3023255108344144
395,BS_51,BS_51_2_AC.pickle,12,0.8130081925036611
396,BS_56,BS_56_1_AC.pickle,0,0.07264981546034834
397,BS_56,BS_56_1_AC.pickle,3,0.9643886775587507
398,BS_56,BS_56_1_AC.pickle,10,0.1338060554966399
399,BS_56,BS_56_1_AC.pickle,16,0.7929417677188026
400,BS_56,BS_56_3_AC.pickle,2,0.32698868783186785
401,BS_56,BS_56_3_AC.pickle,7,0.448035867554201
402,BS_56,BS_56_3_AC.pickle,10,0.27379342960629044
403,BS_56,BS_56_3_AC.pickle,20,0.49327744050305
404,BS_56,BS_56_3_AC.pickle,35,0.0020293247818696236
405,BS_56,BS_56_4_AC.pickle,5,0.884842273793127
406,BS_56,BS_56_4_AC.pickle,6,0.24001240535927965
407,BS_67,BS_67_1_AC.pickle,10,0.6918063047884062
408,BS_67,BS_67_1_AC.pickle,16,0.8954767422052732
409,BS_67,BS_67_1_AC.pickle,31,0.30175239957184485
410,BS_67,BS_67_1_AC.pickle,55,0.7154770563215322
411,BS_67,BS_67_3_AC.pickle,26,0.29864484606316677
412,BS_70,BS_70_10_AC.pickle,11,0.0006858308661425768
413,BS_70,BS_70_10_AC.pickle,16,0.028470602423354502
414,BS_70,BS_70_10_AC.pickle,19,0.8934691297917847
415,BS_70,BS_70_10_AC.pickle,27,0.16543336393978206
416,BS_70,BS_70_10_AC.pickle,30,0.29582864045567203
417,BS_70,BS_70_10_AC.pickle,37,0.6364526379058224
418,BS_70,BS_70_10_AC.pickle,38,0.012277703071821475
419,BS_70,BS_70_10_AC.pickle,41,0.5614651132871338
420,BS_70,BS_70_10_AC.pickle,43,0.10485795379999724
421,BS_70,BS_70_11_AC.pickle,14,0.13298320750422746
422,BS_70,BS_70_11_AC.pickle,15,0.8931692767603715
423,BS_70,BS_70_11_AC.pickle,18,0.0010147455119771907
424,BS_70,BS_70_11_AC.pickle,23,0.1818311883576178
425,BS_70,BS_70_11_AC.pickle,32,0.2791518938735553
426,BS_70,BS_70_11_AC.pickle,35,0.8317871741314687
427,BS_70,BS_70_11_AC.pickle,38,0.3190146134913419
428,BS_70,BS_70_12_AC.pickle,6,0.01915640885832446
429,BS_70,BS_70_12_AC.pickle,7,0.8381933470208648
430,BS_70,BS_70_12_AC.pickle,19,0.6493443163282218
431,BS_70,BS_70_13_AC.pickle,5,0.02547999117602933
