,animal,session,cluster ID,Choice modulation,category
341,BS_42,BS_42_10_AC.pickle,10,4.283559577677225,CR (enhanced)
342,BS_42,BS_42_10_AC.pickle,11,0.39215686274509776,Inconclusive
343,BS_42,BS_42_10_AC.pickle,17,0.10558069381598778,Inconclusive
344,BS_42,BS_42_10_AC.pickle,18,2.914171656686626,CR (enhanced)
345,BS_42,BS_42_10_AC.pickle,20,0.5893186003683242,Inconclusive
346,BS_42,BS_42_10_AC.pickle,26,8.371040723981901,CR (enhanced)
347,BS_42,BS_42_11_AC.pickle,1,0.04866180048661781,Inconclusive
348,BS_42,BS_42_11_AC.pickle,44,4.330900243309002,Inconclusive
349,BS_42,BS_42_11_AC.pickle,48,2.6520681265206814,CR (suppressed)
350,BS_42,BS_42_2_AC.pickle,3,3.0533333333333337,Inconclusive
351,BS_42,BS_42_2_AC.pickle,5,4.473429951690821,CR (enhanced)
352,BS_42,BS_42_2_AC.pickle,7,2.049180327868852,CR (enhanced)
353,BS_42,BS_42_2_AC.pickle,8,3.24,CR (enhanced)
354,BS_42,BS_42_2_AC.pickle,9,3.6288998357963878,CR (suppressed)
