,animal,session,cluster ID,FR modulation,category
335,BS_41,BS_41_9_AC.pickle,102,0.9186840471756689,NCR
336,BS_41,BS_41_9_AC.pickle,103,0.3941730934018849,NCR
337,BS_41,BS_41_9_AC.pickle,109,3.5777777777777753,Inconclusive
338,BS_41,BS_41_9_AC.pickle,125,0.49319727891156456,NCR
339,BS_42,BS_42_10_AC.pickle,3,2.4736048265460027,Inconclusive
340,BS_42,BS_42_10_AC.pickle,8,4.253393665158373,Inconclusive
341,BS_42,BS_42_10_AC.pickle,10,4.645550527903469,CR (enhanced)
342,BS_42,BS_42_10_AC.pickle,11,1.4781297134238316,Inconclusive
343,BS_42,BS_42_10_AC.pickle,17,0.6938159879336351,NCR
344,BS_42,BS_42_10_AC.pickle,18,2.9141716566866256,Inconclusive
345,BS_42,BS_42_10_AC.pickle,20,1.1418047882136282,NCR
346,BS_42,BS_42_10_AC.pickle,26,15.656108597285073,CR (enhanced)
347,BS_42,BS_42_11_AC.pickle,1,2.8710462287104637,Inconclusive
348,BS_42,BS_42_11_AC.pickle,44,41.99513381995131,CR (enhanced)
349,BS_42,BS_42_11_AC.pickle,48,2.725060827250609,Inconclusive
350,BS_42,BS_42_2_AC.pickle,3,3.813333333333332,Inconclusive
351,BS_42,BS_42_2_AC.pickle,5,4.21256038647343,Inconclusive
352,BS_42,BS_42_2_AC.pickle,7,2.131147540983604,Inconclusive
353,BS_42,BS_42_2_AC.pickle,8,26.400000000000002,CR (enhanced)
354,BS_42,BS_42_2_AC.pickle,9,3.727422003284073,CR (suppressed)
355,BS_42,BS_42_2_AC.pickle,12,17.21333333333333,CR (enhanced)
356,BS_42,BS_42_2_AC.pickle,14,50.14666666666665,CR (enhanced)
357,BS_42,BS_42_2_AC.pickle,15,2.0800000000000036,Inconclusive
358,BS_42,BS_42_2_AC.pickle,16,65.78666666666653,CR (enhanced)
359,BS_42,BS_42_2_AC.pickle,17,5.573333333333335,CR (enhanced)
360,BS_42,BS_42_2_AC.pickle,18,0.973333333333333,NCR
361,BS_42,BS_42_2_AC.pickle,27,11.066666666666672,CR (enhanced)
362,BS_42,BS_42_2_AC.pickle,41,1.9066666666666656,NCR
363,BS_42,BS_42_2_AC.pickle,48,1.630347054075867,Inconclusive
