,animal,session,cluster ID,learning phase,Stimulus decoding,Choice decoding
317,BS_41,BS_41_8_AC.pickle,61,post late,0.566279695,0.5859803124411819
318,BS_41,BS_41_8_AC.pickle,66,post late,0.763796256,0.5360753115884384
319,BS_41,BS_41_8_AC.pickle,67,post late,0.671603623,0.5889459502667873
320,BS_41,BS_41_8_AC.pickle,69,post late,0.479870445,0.5017772890731926
321,BS_41,BS_41_8_AC.pickle,72,post late,0.617195266,
322,BS_41,BS_41_8_AC.pickle,77,post late,0.585143392,0.571800583399629
323,BS_41,BS_41_8_AC.pickle,79,post late,0.522974837,0.553043284788071
324,BS_41,BS_41_8_AC.pickle,82,post late,0.720948173,0.6447750702020576
325,BS_41,BS_41_8_AC.pickle,89,post late,0.474230666,
326,BS_41,BS_41_9_AC.pickle,3,post late,0.540301993,0.4879408801080777
327,BS_41,BS_41_9_AC.pickle,23,post late,0.543220733,
328,BS_41,BS_41_9_AC.pickle,24,post late,0.577759016,
329,BS_41,BS_41_9_AC.pickle,37,post late,0.612459526,0.6717949494949496
330,BS_41,BS_41_9_AC.pickle,70,post late,0.535136042,
331,BS_41,BS_41_9_AC.pickle,75,post late,0.49362069,
332,BS_41,BS_41_9_AC.pickle,78,post late,0.534892231,
333,BS_41,BS_41_9_AC.pickle,80,post late,0.52853059,0.6626371921659877
334,BS_41,BS_41_9_AC.pickle,101,post late,0.641600667,
335,BS_41,BS_41_9_AC.pickle,102,post late,0.537357929,
336,BS_41,BS_41_9_AC.pickle,103,post late,0.544918343,
337,BS_41,BS_41_9_AC.pickle,109,post late,0.565677419,
338,BS_41,BS_41_9_AC.pickle,125,post late,0.553449539,
339,BS_42,BS_42_10_AC.pickle,3,post expert,0.5013986,0.4645289465365751
340,BS_42,BS_42_10_AC.pickle,8,post expert,0.691490832,
341,BS_42,BS_42_10_AC.pickle,10,post expert,0.668780982,
342,BS_42,BS_42_10_AC.pickle,11,post expert,0.545689643,
343,BS_42,BS_42_10_AC.pickle,17,post expert,0.473851404,
344,BS_42,BS_42_10_AC.pickle,18,post expert,0.584930452,
345,BS_42,BS_42_10_AC.pickle,20,post expert,0.517966662,
346,BS_42,BS_42_10_AC.pickle,26,post expert,0.597388173,0.5025291982470028
347,BS_42,BS_42_11_AC.pickle,1,post expert,0.490062718,
348,BS_42,BS_42_11_AC.pickle,44,post expert,0.657915396,0.6066467651728455
349,BS_42,BS_42_11_AC.pickle,48,post expert,0.523086893,
350,BS_42,BS_42_2_AC.pickle,3,post early,0.55354539,0.5630062630480167
351,BS_42,BS_42_2_AC.pickle,5,post early,0.484897055,
352,BS_42,BS_42_2_AC.pickle,7,post early,0.46604123,
353,BS_42,BS_42_2_AC.pickle,8,post early,0.654904222,0.5155761010040761
354,BS_42,BS_42_2_AC.pickle,9,post early,0.608303627,
355,BS_42,BS_42_2_AC.pickle,12,post early,0.590261067,0.4983616661695996
356,BS_42,BS_42_2_AC.pickle,14,post early,0.738920495,0.526641813301521
357,BS_42,BS_42_2_AC.pickle,15,post early,0.621531809,0.5765622825330552
358,BS_42,BS_42_2_AC.pickle,16,post early,0.682780127,0.581904761904762
359,BS_42,BS_42_2_AC.pickle,17,post early,0.556209879,0.4897386159364668
360,BS_42,BS_42_2_AC.pickle,18,post early,0.515104747,
361,BS_42,BS_42_2_AC.pickle,27,post early,0.548216414,0.4768197633959639
